Species,Individual,Tissue,Gene,Cq,DateRun
Lfuelleborni,7,CF,SMAD7,32.42959745,20201013
Lfuelleborni,7,CF,SMAD7,32.0492765,20201013
Lfuelleborni,7,OJ,SMAD7,33.78800127,20201013
Lfuelleborni,7,OJ,SMAD7,33.18374892,20201013
Lfuelleborni,7,OJ,SMAD7,33.22505766,20201013
Lfuelleborni,7,PJ,SMAD7,34.76535896,20201013
Lfuelleborni,7,PJ,SMAD7,34.87170982,20201013
Lfuelleborni,7,PJ,SMAD7,32.77003353,20201013
Lfuelleborni,8,CF,BACTIN,16.15859229,20201013
Lfuelleborni,8,CF,BACTIN,15.99055436,20201013
Lfuelleborni,8,CF,BACTIN,16.35441926,20201013
Lfuelleborni,8,OJ,BACTIN,15.91036026,20201013
Lfuelleborni,8,OJ,BACTIN,16.15915796,20201013
Lfuelleborni,8,OJ,BACTIN,16.62072907,20201013
Lfuelleborni,8,PJ,BACTIN,16.51079955,20201013
Lfuelleborni,8,PJ,BACTIN,16.27292341,20201013
Lfuelleborni,8,PJ,BACTIN,17.54725543,20201013
Lfuelleborni,8,CF,DYM,33.75385189,20201013
Lfuelleborni,8,CF,DYM,32.23826591,20201013
Lfuelleborni,8,CF,DYM,32.21459819,20201013
Lfuelleborni,8,OJ,DYM,33.47565579,20201013
Lfuelleborni,8,OJ,DYM,32.33676422,20201013
Lfuelleborni,8,OJ,DYM,31.96500776,20201013
Lfuelleborni,8,PJ,DYM,33.1155333,20201013
Lfuelleborni,8,PJ,DYM,32.02835562,20201013
Lfuelleborni,8,PJ,DYM,31.98113531,20201013
Lfuelleborni,8,CF,NOTCH1A,34.18438429,20201013
Lfuelleborni,8,CF,NOTCH1A,32.85566135,20201013
Lfuelleborni,8,CF,NOTCH1A,33.2812462,20201013
Lfuelleborni,8,OJ,NOTCH1A,34.96001428,20201013
Lfuelleborni,8,OJ,NOTCH1A,36.91894478,20201013
Lfuelleborni,8,OJ,NOTCH1A,35.62225991,20201013
Lfuelleborni,8,PJ,NOTCH1A,37.29838614,20201013
Lfuelleborni,8,PJ,NOTCH1A,36.66225824,20201013
Lfuelleborni,8,PJ,NOTCH1A,39.71359543,20201013
Lfuelleborni,8,CF,SMAD7,33.19556459,20201013
Lfuelleborni,8,CF,SMAD7,33.040152,20201013
Lfuelleborni,8,CF,SMAD7,32.01021534,20201013
Lfuelleborni,8,OJ,SMAD7,34.64735695,20201013
Lfuelleborni,8,OJ,SMAD7,34.39870424,20201013
Lfuelleborni,8,OJ,SMAD7,33.56144714,20201013
Lfuelleborni,8,PJ,SMAD7,34.43128355,20201013
Lfuelleborni,8,PJ,SMAD7,34.5847619,20201013
Lfuelleborni,8,PJ,SMAD7,32.91538362,20201013
Mcallainos,1,CF,BACTIN,15.06886123,20201006
Mcallainos,1,CF,BACTIN,15.00411133,20201006
Mcallainos,1,CF,BACTIN,15.95343616,20201006
